b1,b2,a1,a2,a6,qf1_01,qf1_02,qf1_03,qf1_04,qf1_05,qf1_06,qf1_07,qf1_08,qf1_09,qf1_10,qf1_11,qf1_12,qf4_01,qf4_05,qf4_06,l1,k1,e2c,e7,e9a,e9b,e1c,e2a,e2e
38,Female,North,Musanze,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
40,Male,West,Ngororero,Rural,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Do not save,Someties (more than 2 months past 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
34,Male,East,Rwamagana,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,No,No,Always,On a monthly basis,Worsened,No,Have control over my financial Situation,No,None of them
27,Male,Kigali,Kicukiro,Urban,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
45,Female,West,Ngororero,Rural,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,Yes,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
40,Female,Kigali,Kicukiro,Urban,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,,Yes,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Some of them
54,Female,East,Nyagatare,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Do not save,Someties (more than 2 months past 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Seldom
65,Female,Kigali,Gasabo,Rural,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
34,Female,Kigali,Gasabo,Urban,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,,Yes,Yes,Always,Rarely (less than 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
50,Female,South,Gisagara,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Always,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
30,Male,Kigali,Gasabo,Urban,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,,Yes,No,Yes,Sometimes,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
35,Female,West,Rusizi,Rural,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,Yes,Yes,Always,Rarely (less than 2 months),Improved,Yes,Have control over my financial Situation,Yes,Seldom
31,Female,South,Kamonyi,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have no control over my financial situation,No,None of them
26,Female,Kigali,Kicukiro,Urban,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,Yes,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
40,Female,East,Kayonza,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,No,Always,Rarely (less than 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
53,Male,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,Yes,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,No,Yes all
44,Male,West,Nyamasheke,Rural,No,No,No,No,No,Yes,No,No,No,No,Yes,No,,,Yes,Yes,No,Always,On a monthly basis,Worsened,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
74,Female,Kigali,Kicukiro,Urban,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,,Yes,No,Always,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,None of them
70,Male,West,Nyamasheke,Rural,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,,,Yes,Yes,No,Sometimes,On a monthly basis,Remained the same,Yes,"Yes, have a lot of control over my financial situation",No,Seldom
49,Male,East,Gatsibo,Rural,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,,Yes,,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Yes all
18,Male,West,Rubavu,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Remained the same,No,Have control over my financial Situation,No,None of them
53,Male,East,Kirehe,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
21,Female,West,Rusizi,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,Someties (more than 2 months past 2 months),Improved,Yes,Have some control over my financial Situation,Yes,Some of them
56,Female,East,Rwamagana,Rural,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,,Yes,,No,No,Always,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,None of them
45,Female,Kigali,Nyarugenge,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,On a monthly basis,Remained the same,No,Have control over my financial Situation,Yes,Seldom
37,Female,South,Gisagara,Urban,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
55,Female,East,Ngoma,Urban,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,Yes,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
26,Female,East,Nyagatare,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have some control over my financial Situation,No,Some of them
50,Male,South,Ruhango,Rural,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
67,Male,West,Rusizi,Rural,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,,No,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
57,Female,South,Kamonyi,Urban,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,Yes,Yes,No,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
20,Male,East,Kirehe,Rural,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,Yes all
61,Female,West,Nyamasheke,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
