indicator,geo,geo_type,province,residence,sex,value
School attendance 13-18 (%),Karongi,District,Western Province,Rwanda,Female,73.7
School attendance 13-18 (%),Karongi,District,Western Province,Urban,Both sexes,75.7
School attendance 13-18 (%),Karongi,District,Western Province,Urban,Male,76.2
School attendance 13-18 (%),Karongi,District,Western Province,Urban,Female,75.3
School attendance 13-18 (%),Karongi,District,Western Province,Rural,Both sexes,69.9
School attendance 13-18 (%),Karongi,District,Western Province,Rural,Male,66.6
School attendance 13-18 (%),Karongi,District,Western Province,Rural,Female,73.5
School attendance 13-18 (%),Rutsiro,District,Western Province,Rwanda,Both sexes,61.0
School attendance 13-18 (%),Rutsiro,District,Western Province,Rwanda,Male,58.6
School attendance 13-18 (%),Rutsiro,District,Western Province,Rwanda,Female,63.3
School attendance 13-18 (%),Rutsiro,District,Western Province,Urban,Both sexes,73.1
School attendance 13-18 (%),Rutsiro,District,Western Province,Urban,Male,71.4
School attendance 13-18 (%),Rutsiro,District,Western Province,Urban,Female,74.8
School attendance 13-18 (%),Rutsiro,District,Western Province,Rural,Both sexes,60.3
School attendance 13-18 (%),Rutsiro,District,Western Province,Rural,Male,57.9
School attendance 13-18 (%),Rutsiro,District,Western Province,Rural,Female,62.6
School attendance 13-18 (%),Rubavu,District,Western Province,Rwanda,Both sexes,60.7
School attendance 13-18 (%),Rubavu,District,Western Province,Rwanda,Male,61.2
School attendance 13-18 (%),Rubavu,District,Western Province,Rwanda,Female,60.1
School attendance 13-18 (%),Rubavu,District,Western Province,Urban,Both sexes,69.9
School attendance 13-18 (%),Rubavu,District,Western Province,Urban,Male,71.6
School attendance 13-18 (%),Rubavu,District,Western Province,Urban,Female,68.3
School attendance 13-18 (%),Rubavu,District,Western Province,Rural,Both sexes,50.6
School attendance 13-18 (%),Rubavu,District,Western Province,Rural,Male,50.3
School attendance 13-18 (%),Rubavu,District,Western Province,Rural,Female,50.9
School attendance 13-18 (%),Nyabihu,District,Western Province,Rwanda,Both sexes,64.6
School attendance 13-18 (%),Nyabihu,District,Western Province,Rwanda,Male,61.6
School attendance 13-18 (%),Nyabihu,District,Western Province,Rwanda,Female,67.7
School attendance 13-18 (%),Nyabihu,District,Western Province,Urban,Both sexes,71.9
School attendance 13-18 (%),Nyabihu,District,Western Province,Urban,Male,69.6
School attendance 13-18 (%),Nyabihu,District,Western Province,Urban,Female,74.2
School attendance 13-18 (%),Nyabihu,District,Western Province,Rural,Both sexes,62.3
School attendance 13-18 (%),Nyabihu,District,Western Province,Rural,Male,59.1
School attendance 13-18 (%),Nyabihu,District,Western Province,Rural,Female,65.6
School attendance 13-18 (%),Ngororero,District,Western Province,Rwanda,Both sexes,58.5
School attendance 13-18 (%),Ngororero,District,Western Province,Rwanda,Male,55.7
School attendance 13-18 (%),Ngororero,District,Western Province,Rwanda,Female,61.3
School attendance 13-18 (%),Ngororero,District,Western Province,Urban,Both sexes,75.7
School attendance 13-18 (%),Ngororero,District,Western Province,Urban,Male,74.9
School attendance 13-18 (%),Ngororero,District,Western Province,Urban,Female,76.5
School attendance 13-18 (%),Ngororero,District,Western Province,Rural,Both sexes,57.7
School attendance 13-18 (%),Ngororero,District,Western Province,Rural,Male,54.7
School attendance 13-18 (%),Ngororero,District,Western Province,Rural,Female,60.5
School attendance 13-18 (%),Rusizi,District,Western Province,Rwanda,Both sexes,69.9
School attendance 13-18 (%),Rusizi,District,Western Province,Rwanda,Male,68.2
School attendance 13-18 (%),Rusizi,District,Western Province,Rwanda,Female,71.7
School attendance 13-18 (%),Rusizi,District,Western Province,Urban,Both sexes,70.8
School attendance 13-18 (%),Rusizi,District,Western Province,Urban,Male,70.9
School attendance 13-18 (%),Rusizi,District,Western Province,Urban,Female,70.7
School attendance 13-18 (%),Rusizi,District,Western Province,Rural,Both sexes,69.4
School attendance 13-18 (%),Rusizi,District,Western Province,Rural,Male,66.7
School attendance 13-18 (%),Rusizi,District,Western Province,Rural,Female,72.2
School attendance 13-18 (%),Nyamasheke,District,Western Province,Rwanda,Both sexes,72.4
School attendance 13-18 (%),Nyamasheke,District,Western Province,Rwanda,Male,69.6
School attendance 13-18 (%),Nyamasheke,District,Western Province,Rwanda,Female,75.1
School attendance 13-18 (%),Nyamasheke,District,Western Province,Urban,Both sexes,77.4
School attendance 13-18 (%),Nyamasheke,District,Western Province,Urban,Male,76.4
School attendance 13-18 (%),Nyamasheke,District,Western Province,Urban,Female,78.4
School attendance 13-18 (%),Nyamasheke,District,Western Province,Rural,Both sexes,71.9
School attendance 13-18 (%),Nyamasheke,District,Western Province,Rural,Male,69.1
School attendance 13-18 (%),Nyamasheke,District,Western Province,Rural,Female,74.8
School attendance 13-18 (%),Northern Province,Province,Northern Province,Rwanda,Both sexes,63.4
School attendance 13-18 (%),Northern Province,Province,Northern Province,Rwanda,Male,60.3
School attendance 13-18 (%),Northern Province,Province,Northern Province,Rwanda,Female,66.5
School attendance 13-18 (%),Northern Province,Province,Northern Province,Urban,Both sexes,69.7
School attendance 13-18 (%),Northern Province,Province,Northern Province,Urban,Male,69.4
School attendance 13-18 (%),Northern Province,Province,Northern Province,Urban,Female,70.0
School attendance 13-18 (%),Northern Province,Province,Northern Province,Rural,Both sexes,62.2
School attendance 13-18 (%),Northern Province,Province,Northern Province,Rural,Male,58.7
School attendance 13-18 (%),Northern Province,Province,Northern Province,Rural,Female,65.8
School attendance 13-18 (%),Rulindo,District,Northern Province,Rwanda,Both sexes,64.2
School attendance 13-18 (%),Rulindo,District,Northern Province,Rwanda,Male,60.4
School attendance 13-18 (%),Rulindo,District,Northern Province,Rwanda,Female,68.0
School attendance 13-18 (%),Rulindo,District,Northern Province,Urban,Both sexes,68.5
School attendance 13-18 (%),Rulindo,District,Northern Province,Urban,Male,70.5
School attendance 13-18 (%),Rulindo,District,Northern Province,Urban,Female,66.7
School attendance 13-18 (%),Rulindo,District,Northern Province,Rural,Both sexes,63.7
School attendance 13-18 (%),Rulindo,District,Northern Province,Rural,Male,59.3
School attendance 13-18 (%),Rulindo,District,Northern Province,Rural,Female,68.1
School attendance 13-18 (%),Gakenke,District,Northern Province,Rwanda,Both sexes,62.5
School attendance 13-18 (%),Gakenke,District,Northern Province,Rwanda,Male,59.0
School attendance 13-18 (%),Gakenke,District,Northern Province,Rwanda,Female,65.9
School attendance 13-18 (%),Gakenke,District,Northern Province,Urban,Both sexes,72.3
