group,year,sex,count,pct,level
Students in Public schools,2018,Male,24948.0,,Upper Secondary
Students in Public schools,2018,Female,27257.0,,Upper Secondary
Students in Public schools,2019,Male,26566.0,,Upper Secondary
Students in Public schools,2019,Female,29317.0,,Upper Secondary
Students in Public schools,2020/21,Male,27250.0,,Upper Secondary
Students in Public schools,2020/21,Female,31673.0,,Upper Secondary
Students in Public schools,2021/22,Male,27992.0,,Upper Secondary
Students in Public schools,2021/22,Female,35066.0,,Upper Secondary
Students in Public schools,2022/23,Male,28669.0,,Upper Secondary
Students in Public schools,2022/23,Female,37746.0,,Upper Secondary
Students in Government-subsidized schools,2017,Male,37541.0,,Upper Secondary
Students in Government-subsidized schools,2017,Female,50123.0,,Upper Secondary
Students in Government-subsidized schools,2018,Male,40136.0,,Upper Secondary
Students in Government-subsidized schools,2018,Female,53130.0,,Upper Secondary
Students in Government-subsidized schools,2019,Male,42941.0,,Upper Secondary
Students in Government-subsidized schools,2019,Female,57230.0,,Upper Secondary
Students in Government-subsidized schools,2020/21,Male,42851.0,,Upper Secondary
Students in Government-subsidized schools,2020/21,Female,57183.0,,Upper Secondary
Students in Government-subsidized schools,2021/22,Male,44711.0,,Upper Secondary
Students in Government-subsidized schools,2021/22,Female,64006.0,,Upper Secondary
Students in Government-subsidized schools,2022/23,Male,43148.0,,Upper Secondary
Students in Government-subsidized schools,2022/23,Female,65535.0,,Upper Secondary
Students in Private schools,2017,Male,5415.0,,Upper Secondary
Students in Private schools,2017,Female,6373.0,,Upper Secondary
Students in Private schools,2018,Male,5384.0,,Upper Secondary
Students in Private schools,2018,Female,5949.0,,Upper Secondary
Students in Private schools,2019,Male,5696.0,,Upper Secondary
Students in Private schools,2019,Female,6059.0,,Upper Secondary
Students in Private schools,2020/21,Male,6121.0,,Upper Secondary
Students in Private schools,2020/21,Female,6916.0,,Upper Secondary
Students in Private schools,2021/22,Male,6495.0,,Upper Secondary
Students in Private schools,2021/22,Female,11390.0,,Upper Secondary
Students in Private schools,2022/23,Male,6882.0,,Upper Secondary
Students in Private schools,2022/23,Female,11591.0,,Upper Secondary
Total trainees,2017,Male,43500.0,0.547,TVET
Total trainees,2017,Female,36095.0,0.453,TVET
Total trainees,2018,Male,43585.0,0.549,TVET
Total trainees,2018,Female,35803.0,0.451,TVET
Total trainees,2019,Male,46573.0,0.56,TVET
Total trainees,2019,Female,36584.0,0.44,TVET
Total trainees,2020/21,Male,47518.0,0.533,TVET
Total trainees,2020/21,Female,41703.0,0.467,TVET
Total trainees,2021/22,Male,48623.0,0.583,TVET
Total trainees,2021/22,Female,34835.0,0.417,TVET
Total trainees,2022/23,Male,58611.0,0.566,TVET
Total trainees,2022/23,Female,44944.0,0.434,TVET
Trainees in Public schools,2017,Male,12368.0,,TVET
Trainees in Public schools,2017,Female,8266.0,,TVET
Trainees in Public schools,2018,Male,12849.0,,TVET
Trainees in Public schools,2018,Female,8714.0,,TVET
Trainees in Public schools,2019,Male,15952.0,,TVET
Trainees in Public schools,2019,Female,8719.0,,TVET
Trainees in Public schools,2020/21,Male,14292.0,,TVET
Trainees in Public schools,2020/21,Female,9969.0,,TVET
Trainees in Public schools,2021/22,Male,15006.0,,TVET
Trainees in Public schools,2021/22,Female,10185.0,,TVET
Trainees in Public schools,2022/23,Male,18861.0,,TVET
Trainees in Public schools,2022/23,Female,14073.0,,TVET
Trainees in Government-subsidized schools,2017,Male,6853.0,,TVET
Trainees in Government-subsidized schools,2017,Female,5355.0,,TVET
Trainees in Government-subsidized schools,2018,Male,6595.0,,TVET
Trainees in Government-subsidized schools,2018,Female,5575.0,,TVET
Trainees in Government-subsidized schools,2019,Male,6682.0,,TVET
Trainees in Government-subsidized schools,2019,Female,5729.0,,TVET
Trainees in Government-subsidized schools,2020/21,Male,7741.0,,TVET
Trainees in Government-subsidized schools,2020/21,Female,7315.0,,TVET
Trainees in Government-subsidized schools,2021/22,Male,9253.0,,TVET
Trainees in Government-subsidized schools,2021/22,Female,7019.0,,TVET
Trainees in Government-subsidized schools,2022/23,Male,13081.0,,TVET
Trainees in Government-subsidized schools,2022/23,Female,10015.0,,TVET
Trainees in Private schools,2017,Male,24279.0,,TVET
Trainees in Private schools,2017,Female,22474.0,,TVET
Trainees in Private schools,2018,Male,24141.0,,TVET
Trainees in Private schools,2018,Female,21514.0,,TVET
Trainees in Private schools,2019,Male,23939.0,,TVET
Trainees in Private schools,2019,Female,22136.0,,TVET
Trainees in Private schools,2020/21,Male,25485.0,,TVET
Trainees in Private schools,2020/21,Female,24419.0,,TVET
Trainees in Private schools,2021/22,Male,24364.0,,TVET
Trainees in Private schools,2021/22,Female,17631.0,,TVET
Trainees in Private schools,2022/23,Male,26669.0,,TVET
Trainees in Private schools,2022/23,Female,20856.0,,TVET
