grade,sex,year,value,metric
S2,Total,2017/18,0.06,Repetition Rate
S2,Total,2018/19,0.048,Repetition Rate
S2,Total,2019/20,0.077,Repetition Rate
S2,Total,2020/21,0.143,Repetition Rate
S2,Total,2021/22,0.237,Repetition Rate
S2,Male,2016/17,0.073,Repetition Rate
S2,Male,2017/18,0.064,Repetition Rate
S2,Male,2018/19,0.053,Repetition Rate
S2,Male,2019/20,0.082,Repetition Rate
S2,Male,2020/21,0.151,Repetition Rate
S2,Male,2021/22,0.241,Repetition Rate
S2,Female,2016/17,0.068,Repetition Rate
S2,Female,2017/18,0.057,Repetition Rate
S2,Female,2018/19,0.043,Repetition Rate
S2,Female,2019/20,0.073,Repetition Rate
S2,Female,2020/21,0.136,Repetition Rate
S2,Female,2021/22,0.233,Repetition Rate
S3,Total,2016/17,0.012,Repetition Rate
S3,Total,2017/18,0.006,Repetition Rate
S3,Total,2018/19,0.007,Repetition Rate
S3,Total,2019/20,0.012,Repetition Rate
S3,Total,2020/21,0.042,Repetition Rate
S3,Total,2021/22,0.043,Repetition Rate
S3,Male,2016/17,0.01,Repetition Rate
S3,Male,2017/18,0.006,Repetition Rate
S3,Male,2018/19,0.006,Repetition Rate
S3,Male,2019/20,0.012,Repetition Rate
S3,Male,2020/21,0.034,Repetition Rate
S3,Male,2021/22,0.032,Repetition Rate
S3,Female,2016/17,0.013,Repetition Rate
S3,Female,2017/18,0.007,Repetition Rate
S3,Female,2018/19,0.008,Repetition Rate
S3,Female,2019/20,0.012,Repetition Rate
S3,Female,2020/21,0.049,Repetition Rate
S3,Female,2021/22,0.052,Repetition Rate
S4,Total,2016/17,0.031,Repetition Rate
S4,Total,2017/18,0.03,Repetition Rate
S4,Total,2018/19,0.025,Repetition Rate
S4,Total,2019/20,0.056,Repetition Rate
S4,Total,2020/21,0.053,Repetition Rate
S4,Total,2021/22,0.062,Repetition Rate
S4,Male,2016/17,0.027,Repetition Rate
S4,Male,2017/18,0.028,Repetition Rate
S4,Male,2018/19,0.024,Repetition Rate
S4,Male,2019/20,0.053,Repetition Rate
S4,Male,2020/21,0.047,Repetition Rate
S4,Male,2021/22,0.051,Repetition Rate
S4,Female,2016/17,0.035,Repetition Rate
S4,Female,2017/18,0.032,Repetition Rate
S4,Female,2018/19,0.026,Repetition Rate
S4,Female,2019/20,0.058,Repetition Rate
S4,Female,2020/21,0.058,Repetition Rate
S4,Female,2021/22,0.071,Repetition Rate
S5,Total,2016/17,0.031,Repetition Rate
S5,Total,2017/18,0.027,Repetition Rate
S5,Total,2018/19,0.021,Repetition Rate
S5,Total,2019/20,0.043,Repetition Rate
S5,Total,2020/21,0.043,Repetition Rate
S5,Total,2021/22,0.064,Repetition Rate
S5,Male,2016/17,0.026,Repetition Rate
S5,Male,2017/18,0.021,Repetition Rate
S5,Male,2018/19,0.02,Repetition Rate
S5,Male,2019/20,0.042,Repetition Rate
S5,Male,2020/21,0.034,Repetition Rate
S5,Male,2021/22,0.049,Repetition Rate
S5,Female,2016/17,0.037,Repetition Rate
S5,Female,2017/18,0.031,Repetition Rate
S5,Female,2018/19,0.022,Repetition Rate
S5,Female,2019/20,0.044,Repetition Rate
S5,Female,2020/21,0.05,Repetition Rate
S5,Female,2021/22,0.078,Repetition Rate
S6,Total,2016/17,0.012,Repetition Rate
S6,Total,2017/18,0.01,Repetition Rate
S6,Total,2018/19,0.008,Repetition Rate
S6,Total,2019/20,0.011,Repetition Rate
S6,Total,2020/21,0.024,Repetition Rate
S6,Total,2021/22,0.008,Repetition Rate
S6,Male,2016/17,0.009,Repetition Rate
S6,Male,2017/18,0.009,Repetition Rate
S6,Male,2018/19,0.007,Repetition Rate
S6,Male,2019/20,0.011,Repetition Rate
S6,Male,2020/21,0.021,Repetition Rate
S6,Male,2021/22,0.007,Repetition Rate
S6,Female,2016/17,0.015,Repetition Rate
S6,Female,2017/18,0.011,Repetition Rate
S6,Female,2018/19,0.01,Repetition Rate
S6,Female,2019/20,0.011,Repetition Rate
S6,Female,2020/21,0.027,Repetition Rate
S6,Female,2021/22,0.008,Repetition Rate
P1,Total,2016/17,0.015,Dropout Rate
P1,Total,2017/18,0.008,Dropout Rate
P1,Total,2018/19,0.044,Dropout Rate
P1,Total,2019/20,0.047,Dropout Rate
P1,Total,2020/21,0.016,Dropout Rate
P1,Male,2016/17,0.013,Dropout Rate
P1,Male,2017/18,0.007,Dropout Rate
P1,Male,2018/19,0.045,Dropout Rate
P1,Male,2019/20,0.057,Dropout Rate
P1,Male,2020/21,0.004,Dropout Rate
P1,Female,2016/17,0.017,Dropout Rate
P1,Female,2017/18,0.009,Dropout Rate
P1,Female,2018/19,0.042,Dropout Rate
P1,Female,2019/20,0.036,Dropout Rate
P1,Female,2020/21,0.028,Dropout Rate
P2,Total,2016/17,0.05,Dropout Rate
P2,Total,2017/18,0.066,Dropout Rate
P2,Total,2018/19,0.058,Dropout Rate
P2,Total,2019/20,0.06,Dropout Rate
P2,Total,2020/21,0.03,Dropout Rate
P2,Male,2016/17,0.053,Dropout Rate
P2,Male,2017/18,0.071,Dropout Rate
P2,Male,2018/19,0.067,Dropout Rate
P2,Male,2019/20,0.077,Dropout Rate
P2,Male,2020/21,0.032,Dropout Rate
P2,Female,2016/17,0.046,Dropout Rate
P2,Female,2017/18,0.06,Dropout Rate
P2,Female,2018/19,0.049,Dropout Rate
P2,Female,2019/20,0.043,Dropout Rate
P2,Female,2020/21,0.029,Dropout Rate
P3,Total,2016/17,0.059,Dropout Rate
P3,Total,2017/18,0.056,Dropout Rate
P3,Total,2018/19,0.061,Dropout Rate
P3,Total,2019/20,0.065,Dropout Rate
P3,Total,2020/21,0.067,Dropout Rate
P3,Male,2016/17,0.061,Dropout Rate
P3,Male,2017/18,0.063,Dropout Rate
P3,Male,2018/19,0.074,Dropout Rate
P3,Male,2019/20,0.085,Dropout Rate
P3,Male,2020/21,0.083,Dropout Rate
P3,Female,2016/17,0.057,Dropout Rate
P3,Female,2017/18,0.05,Dropout Rate
P3,Female,2018/19,0.046,Dropout Rate
P3,Female,2019/20,0.043,Dropout Rate
P3,Female,2020/21,0.051,Dropout Rate
P4,Total,2016/17,0.062,Dropout Rate
P4,Total,2017/18,0.061,Dropout Rate
P4,Total,2018/19,0.069,Dropout Rate
P4,Total,2019/20,0.079,Dropout Rate
P4,Total,2020/21,0.087,Dropout Rate
P4,Male,2016/17,0.064,Dropout Rate
P4,Male,2017/18,0.071,Dropout Rate
P4,Male,2018/19,0.085,Dropout Rate
P4,Male,2019/20,0.105,Dropout Rate
P4,Male,2020/21,0.111,Dropout Rate
P4,Female,2016/17,0.059,Dropout Rate
P4,Female,2017/18,0.052,Dropout Rate
P4,Female,2018/19,0.054,Dropout Rate
P4,Female,2019/20,0.053,Dropout Rate
P4,Female,2020/21,0.063,Dropout Rate
P5,Total,2016/17,0.096,Dropout Rate
P5,Total,2017/18,0.086,Dropout Rate
P5,Total,2018/19,0.117,Dropout Rate
P5,Total,2019/20,0.174,Dropout Rate
P5,Total,2020/21,0.212,Dropout Rate
P5,Male,2016/17,0.106,Dropout Rate
P5,Male,2017/18,0.088,Dropout Rate
P5,Male,2018/19,0.133,Dropout Rate
P5,Male,2019/20,0.2,Dropout Rate
P5,Male,2020/21,0.243,Dropout Rate
P5,Female,2016/17,0.087,Dropout Rate
P5,Female,2017/18,0.084,Dropout Rate
P5,Female,2018/19,0.102,Dropout Rate
P5,Female,2019/20,0.148,Dropout Rate
P5,Female,2020/21,0.183,Dropout Rate
S1,Total,2016/17,0.041,Dropout Rate
S1,Total,2017/18,0.069,Dropout Rate
S1,Total,2018/19,0.09,Dropout Rate
S1,Total,2019/20,0.084,Dropout Rate
S1,Total,2020/21,0.09,Dropout Rate
S1,Male,2016/17,0.039,Dropout Rate
S1,Male,2017/18,0.064,Dropout Rate
S1,Male,2018/19,0.096,Dropout Rate
S1,Male,2019/20,0.088,Dropout Rate
S1,Male,2020/21,0.101,Dropout Rate
S1,Female,2016/17,0.043,Dropout Rate
S1,Female,2017/18,0.072,Dropout Rate
S1,Female,2018/19,0.086,Dropout Rate
S1,Female,2019/20,0.08,Dropout Rate
S1,Female,2020/21,0.08,Dropout Rate
S2,Total,2016/17,0.086,Dropout Rate
S2,Total,2017/18,0.075,Dropout Rate
S2,Total,2018/19,0.092,Dropout Rate
S2,Total,2019/20,0.141,Dropout Rate
S2,Total,2020/21,0.169,Dropout Rate
S2,Male,2016/17,0.084,Dropout Rate
S2,Male,2017/18,0.066,Dropout Rate
S2,Male,2018/19,0.089,Dropout Rate
S2,Male,2019/20,0.134,Dropout Rate
S2,Male,2020/21,0.17,Dropout Rate
S2,Female,2016/17,0.088,Dropout Rate
S2,Female,2017/18,0.082,Dropout Rate
S2,Female,2018/19,0.094,Dropout Rate
S2,Female,2019/20,0.146,Dropout Rate
S2,Female,2020/21,0.168,Dropout Rate
S4,Total,2016/17,0.038,Dropout Rate
S4,Total,2017/18,0.027,Dropout Rate
S4,Total,2018/19,0.066,Dropout Rate
S4,Total,2019/20,0.096,Dropout Rate
S4,Total,2020/21,0.084,Dropout Rate
S4,Male,2016/17,0.033,Dropout Rate
S4,Male,2017/18,0.025,Dropout Rate
S4,Male,2018/19,0.066,Dropout Rate
S4,Male,2019/20,0.088,Dropout Rate
S4,Male,2020/21,0.096,Dropout Rate
S4,Female,2016/17,0.043,Dropout Rate
S4,Female,2017/18,0.028,Dropout Rate
S4,Female,2018/19,0.067,Dropout Rate
S4,Female,2019/20,0.103,Dropout Rate
S4,Female,2020/21,0.073,Dropout Rate
S5,Total,2016/17,0.011,Dropout Rate
S5,Total,2017/18,0.005,Dropout Rate
S5,Total,2018/19,0.034,Dropout Rate
S5,Total,2019/20,0.058,Dropout Rate
S5,Total,2020/21,0.027,Dropout Rate
S5,Male,2016/17,0.005,Dropout Rate
S5,Male,2017/18,0.011,Dropout Rate
S5,Male,2018/19,0.024,Dropout Rate
S5,Male,2019/20,0.053,Dropout Rate
S5,Male,2020/21,0.023,Dropout Rate
S5,Female,2016/17,0.018,Dropout Rate
S5,Female,2017/18,0.001,Dropout Rate
S5,Female,2018/19,0.041,Dropout Rate
S5,Female,2019/20,0.062,Dropout Rate
S5,Female,2020/21,0.031,Dropout Rate
