year,quarter,group,indicator,value
2021,Q4,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),42.787715745989814
2022,Q1,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),39.92536368377168
2022,Q2,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),45.92345122002302
2022,Q3,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),42.43537970426305
2022,Q4,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),44.27841375660458
2023,Q1,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),39.567828757787574
2023,Q2,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),38.95144882119331
2023,Q3,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),40.2235064145293
2023,Q4,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),36.68758882191363
2024,Q1,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),32.813394799973246
2024,Q2,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),34.435958660029954
2024,Q3,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),37.466538884032765
2024,Q4,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),33.36840455552578
2025,Q1,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),29.889836941375307
2025,Q2,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),33.00842810558927
2025,Q3,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),34.23340554153184
2025,Q4,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),32.22867732486646
2019,Q1,Youth (16-30),LU4 - Composite measure of labour underutilization(%),60.17349752109872
2019,Q2,Youth (16-30),LU4 - Composite measure of labour underutilization(%),57.07478156043686
2019,Q3,Youth (16-30),LU4 - Composite measure of labour underutilization(%),59.41972630506414
2019,Q4,Youth (16-30),LU4 - Composite measure of labour underutilization(%),56.93109194717758
2020,Q1,Youth (16-30),LU4 - Composite measure of labour underutilization(%),60.60633719215416
2020,Q3,Youth (16-30),LU4 - Composite measure of labour underutilization(%),60.04609135410868
2020,Q4,Youth (16-30),LU4 - Composite measure of labour underutilization(%),62.72063277526648
2021,Q1,Youth (16-30),LU4 - Composite measure of labour underutilization(%),62.83848517138353
2021,Q2,Youth (16-30),LU4 - Composite measure of labour underutilization(%),62.30584584563271
2021,Q3,Youth (16-30),LU4 - Composite measure of labour underutilization(%),65.19722172559761
2021,Q4,Youth (16-30),LU4 - Composite measure of labour underutilization(%),60.93634142621299
2022,Q1,Youth (16-30),LU4 - Composite measure of labour underutilization(%),58.27493048912056
2022,Q2,Youth (16-30),LU4 - Composite measure of labour underutilization(%),62.658358353161994
2022,Q3,Youth (16-30),LU4 - Composite measure of labour underutilization(%),63.24402227432011
2022,Q4,Youth (16-30),LU4 - Composite measure of labour underutilization(%),61.90803790990654
2023,Q1,Youth (16-30),LU4 - Composite measure of labour underutilization(%),57.36703743410953
2023,Q2,Youth (16-30),LU4 - Composite measure of labour underutilization(%),56.9201230040165
2023,Q3,Youth (16-30),LU4 - Composite measure of labour underutilization(%),58.825471296258684
2023,Q4,Youth (16-30),LU4 - Composite measure of labour underutilization(%),55.64836636344905
