year,quarter,sex,indicator,value
2020,Q3,Male,Time related underemployment rate(%),24.287944389932814
2020,Q4,Male,Time related underemployment rate(%),29.994799761524632
2021,Q1,Male,Time related underemployment rate(%),30.943354545754186
2021,Q2,Male,Time related underemployment rate(%),28.551292781917667
2021,Q3,Male,Time related underemployment rate(%),28.076854507007322
2021,Q4,Male,Time related underemployment rate(%),27.8924226373488
2022,Q1,Male,Time related underemployment rate(%),25.87307634063913
2022,Q2,Male,Time related underemployment rate(%),29.96963324919064
2022,Q3,Male,Time related underemployment rate(%),31.758305443501637
2022,Q4,Male,Time related underemployment rate(%),30.772386036927315
2023,Q1,Male,Time related underemployment rate(%),25.965420773054618
2023,Q2,Male,Time related underemployment rate(%),27.78593617301547
2023,Q3,Male,Time related underemployment rate(%),27.53855265329487
2023,Q4,Male,Time related underemployment rate(%),27.962365167072736
2024,Q1,Male,Time related underemployment rate(%),25.495464761174524
2024,Q2,Male,Time related underemployment rate(%),28.395111788697683
2024,Q3,Male,Time related underemployment rate(%),32.34171470888458
2024,Q4,Male,Time related underemployment rate(%),31.23407790974383
2025,Q1,Male,Time related underemployment rate(%),31.861144673577144
2025,Q2,Male,Time related underemployment rate(%),32.73016503086955
2025,Q3,Male,Time related underemployment rate(%),31.02848581870013
2025,Q4,Male,Time related underemployment rate(%),32.599008871087776
2019,Q1,Male,LU1-Unemployment rate (%),13.850280991235959
2019,Q2,Male,LU1-Unemployment rate (%),13.11679332770813
2019,Q3,Male,LU1-Unemployment rate (%),14.305925201073402
2019,Q4,Male,LU1-Unemployment rate (%),14.010847596272637
2020,Q1,Male,LU1-Unemployment rate (%),12.285561349534188
2020,Q2,Male,LU1-Unemployment rate (%),19.638138874420882
2020,Q3,Male,LU1-Unemployment rate (%),13.021342724511872
2020,Q4,Male,LU1-Unemployment rate (%),18.590947035816434
2021,Q1,Male,LU1-Unemployment rate (%),15.745159024968409
2021,Q2,Male,LU1-Unemployment rate (%),19.96099402379038
2021,Q3,Male,LU1-Unemployment rate (%),17.1500308473995
2021,Q4,Male,LU1-Unemployment rate (%),20.714552758894705
2022,Q1,Male,LU1-Unemployment rate (%),15.011392691989235
2022,Q2,Male,LU1-Unemployment rate (%),20.018565192606793
2022,Q3,Male,LU1-Unemployment rate (%),15.372509541302758
2022,Q4,Male,LU1-Unemployment rate (%),20.857513879419226
2023,Q1,Male,LU1-Unemployment rate (%),15.47114872545037
2023,Q2,Male,LU1-Unemployment rate (%),13.89046422297126
2023,Q3,Male,LU1-Unemployment rate (%),14.83156246650738
2023,Q4,Male,LU1-Unemployment rate (%),13.922095552786086
2024,Q1,Male,LU1-Unemployment rate (%),11.546667425881854
2024,Q2,Male,LU1-Unemployment rate (%),14.06991279964927
2024,Q3,Male,LU1-Unemployment rate (%),12.47008620834101
2024,Q4,Male,LU1-Unemployment rate (%),12.201629604714299
2025,Q1,Male,LU1-Unemployment rate (%),9.888342471901957
2025,Q2,Male,LU1-Unemployment rate (%),11.791165554685529
2025,Q3,Male,LU1-Unemployment rate (%),11.177419421840948
2025,Q4,Male,LU1-Unemployment rate (%),10.496110118932643
2019,Q1,Male,LU2-Combined rate of unemployment and time-related underemployment(%),35.53458312506353
2019,Q2,Male,LU2-Combined rate of unemployment and time-related underemployment(%),33.38543059100997
2019,Q3,Male,LU2-Combined rate of unemployment and time-related underemployment(%),35.469593773522064
2019,Q4,Male,LU2-Combined rate of unemployment and time-related underemployment(%),32.176812620011184
2020,Q1,Male,LU2-Combined rate of unemployment and time-related underemployment(%),37.623417127874404
2020,Q2,Male,LU2-Combined rate of unemployment and time-related underemployment(%),0.0
2020,Q3,Male,LU2-Combined rate of unemployment and time-related underemployment(%),34.14667063469268
2020,Q4,Male,LU2-Combined rate of unemployment and time-related underemployment(%),43.00942946017683
2021,Q1,Male,LU2-Combined rate of unemployment and time-related underemployment(%),41.81643318983381
2021,Q2,Male,LU2-Combined rate of unemployment and time-related underemployment(%),42.81316495979457
2021,Q3,Male,LU2-Combined rate of unemployment and time-related underemployment(%),40.41169614547559
2021,Q4,Male,LU2-Combined rate of unemployment and time-related underemployment(%),42.829184793296
2022,Q1,Male,LU2-Combined rate of unemployment and time-related underemployment(%),37.000559941636865
2022,Q2,Male,LU2-Combined rate of unemployment and time-related underemployment(%),43.988707871823046
2022,Q3,Male,LU2-Combined rate of unemployment and time-related underemployment(%),42.248766450346025
2022,Q4,Male,LU2-Combined rate of unemployment and time-related underemployment(%),45.21154522766596
2023,Q1,Male,LU2-Combined rate of unemployment and time-related underemployment(%),37.41942063351672
2023,Q2,Male,LU2-Combined rate of unemployment and time-related underemployment(%),37.81680487285639
2023,Q3,Male,LU2-Combined rate of unemployment and time-related underemployment(%),38.2857174806568
2023,Q4,Male,LU2-Combined rate of unemployment and time-related underemployment(%),37.991513522479984
2024,Q1,Male,LU2-Combined rate of unemployment and time-related underemployment(%),34.09825566240065
2024,Q2,Male,LU2-Combined rate of unemployment and time-related underemployment(%),38.46985712031426
2024,Q3,Male,LU2-Combined rate of unemployment and time-related underemployment(%),40.77876121177198
2024,Q4,Male,LU2-Combined rate of unemployment and time-related underemployment(%),39.6246410174633
2025,Q1,Male,LU2-Combined rate of unemployment and time-related underemployment(%),38.598948044687646
2025,Q2,Male,LU2-Combined rate of unemployment and time-related underemployment(%),40.662062640443466
2025,Q3,Male,LU2-Combined rate of unemployment and time-related underemployment(%),38.73772124033852
2025,Q4,Male,LU2-Combined rate of unemployment and time-related underemployment(%),39.67349112123043
2019,Q1,Male,LU3-Combined rate of unemployment and potential labour force(%),31.536717384276567
2019,Q2,Male,LU3-Combined rate of unemployment and potential labour force(%),30.425300366055964
2019,Q3,Male,LU3-Combined rate of unemployment and potential labour force(%),32.13477452260791
2019,Q4,Male,LU3-Combined rate of unemployment and potential labour force(%),31.530725827113308
2020,Q1,Male,LU3-Combined rate of unemployment and potential labour force(%),30.393691330808114
2020,Q2,Male,LU3-Combined rate of unemployment and potential labour force(%),19.638138874420882
2020,Q3,Male,LU3-Combined rate of unemployment and potential labour force(%),30.497399137088262
2020,Q4,Male,LU3-Combined rate of unemployment and potential labour force(%),33.569609131914675
2021,Q1,Male,LU3-Combined rate of unemployment and potential labour force(%),33.46916065939074
2021,Q2,Male,LU3-Combined rate of unemployment and potential labour force(%),33.749954454118914
2021,Q3,Male,LU3-Combined rate of unemployment and potential labour force(%),34.80346104924657
2021,Q4,Male,LU3-Combined rate of unemployment and potential labour force(%),30.40357038048997
2022,Q1,Male,LU3-Combined rate of unemployment and potential labour force(%),28.160582120140447
2022,Q2,Male,LU3-Combined rate of unemployment and potential labour force(%),32.962819793389286
2022,Q3,Male,LU3-Combined rate of unemployment and potential labour force(%),29.923447053690126
2022,Q4,Male,LU3-Combined rate of unemployment and potential labour force(%),31.39004109023033
2023,Q1,Male,LU3-Combined rate of unemployment and potential labour force(%),29.77559876925128
2023,Q2,Male,LU3-Combined rate of unemployment and potential labour force(%),27.16652833813469
2023,Q3,Male,LU3-Combined rate of unemployment and potential labour force(%),28.242498246167614
2023,Q4,Male,LU3-Combined rate of unemployment and potential labour force(%),27.129822540954198
2024,Q1,Male,LU3-Combined rate of unemployment and potential labour force(%),23.841769899296786
2024,Q2,Male,LU3-Combined rate of unemployment and potential labour force(%),25.29435244461531
2024,Q3,Male,LU3-Combined rate of unemployment and potential labour force(%),26.472898621585315
2024,Q4,Male,LU3-Combined rate of unemployment and potential labour force(%),24.02486519816766
2025,Q1,Male,LU3-Combined rate of unemployment and potential labour force(%),22.5341339934472
2025,Q2,Male,LU3-Combined rate of unemployment and potential labour force(%),24.86290620254845
2025,Q3,Male,LU3-Combined rate of unemployment and potential labour force(%),25.02079077957162
2025,Q4,Male,LU3-Combined rate of unemployment and potential labour force(%),24.58099202556077
2019,Q1,Male,LU4 - Composite measure of labour underutilization(%),48.769257691946585
2019,Q2,Male,LU4 - Composite measure of labour underutilization(%),46.656104955285244
2019,Q3,Male,LU4 - Composite measure of labour underutilization(%),48.89529318119802
2019,Q4,Male,LU4 - Composite measure of labour underutilization(%),45.99546242534857
2020,Q1,Male,LU4 - Composite measure of labour underutilization(%),50.500695804161715
2020,Q3,Male,LU4 - Composite measure of labour underutilization(%),47.37815218422923
2020,Q4,Male,LU4 - Composite measure of labour underutilization(%),53.495271853595014
2021,Q1,Male,LU4 - Composite measure of labour underutilization(%),54.05603415882157
2021,Q2,Male,LU4 - Composite measure of labour underutilization(%),52.665198926077224
2021,Q3,Male,LU4 - Composite measure of labour underutilization(%),53.108598434053974
2021,Q4,Male,LU4 - Composite measure of labour underutilization(%),49.815700670468715
2022,Q1,Male,LU4 - Composite measure of labour underutilization(%),46.747649550867266
2022,Q2,Male,LU4 - Composite measure of labour underutilization(%),53.05361684190954
2022,Q3,Male,LU4 - Composite measure of labour underutilization(%),52.17857278265635
2022,Q4,Male,LU4 - Composite measure of labour underutilization(%),52.50296250572187
2023,Q1,Male,LU4 - Composite measure of labour underutilization(%),48.00966003417333
2023,Q2,Male,LU4 - Composite measure of labour underutilization(%),47.403990286691894
2023,Q3,Male,LU4 - Composite measure of labour underutilization(%),48.00347564933573
2023,Q4,Male,LU4 - Composite measure of labour underutilization(%),47.50604765994651
2024,Q1,Male,LU4 - Composite measure of labour underutilization(%),43.258664617355784
2024,Q2,Male,LU4 - Composite measure of labour underutilization(%),46.50710458043729
2024,Q3,Male,LU4 - Composite measure of labour underutilization(%),50.252823983104534
2024,Q4,Male,LU4 - Composite measure of labour underutilization(%),47.75499799420487
2025,Q1,Male,LU4 - Composite measure of labour underutilization(%),47.21564563443441
2025,Q2,Male,LU4 - Composite measure of labour underutilization(%),49.455401001853595
2025,Q3,Male,LU4 - Composite measure of labour underutilization(%),48.28570407950574
2025,Q4,Male,LU4 - Composite measure of labour underutilization(%),49.16684112563461
2019,Q1,Male,NEET rate-Youth  not in employment nor currently in education or training(%),26.11512701941981
2019,Q2,Male,NEET rate-Youth  not in employment nor currently in education or training(%),25.9867918834503
2019,Q3,Male,NEET rate-Youth  not in employment nor currently in education or training(%),27.213210095354274
2019,Q4,Male,NEET rate-Youth  not in employment nor currently in education or training(%),26.83977414370708
2020,Q1,Male,NEET rate-Youth  not in employment nor currently in education or training(%),28.558497290535126
2020,Q3,Male,NEET rate-Youth  not in employment nor currently in education or training(%),22.952204498957517
2020,Q4,Male,NEET rate-Youth  not in employment nor currently in education or training(%),28.886780871454643
2021,Q1,Male,NEET rate-Youth  not in employment nor currently in education or training(%),28.4473950511814
2021,Q2,Male,NEET rate-Youth  not in employment nor currently in education or training(%),31.653293315869885
2021,Q3,Male,NEET rate-Youth  not in employment nor currently in education or training(%),31.662380867905824
2021,Q4,Male,NEET rate-Youth  not in employment nor currently in education or training(%),27.982814935313385
2022,Q1,Male,NEET rate-Youth  not in employment nor currently in education or training(%),27.5881834456946
2022,Q2,Male,NEET rate-Youth  not in employment nor currently in education or training(%),30.73573896423893
2022,Q3,Male,NEET rate-Youth  not in employment nor currently in education or training(%),27.99552234269739
2022,Q4,Male,NEET rate-Youth  not in employment nor currently in education or training(%),29.947992814673878
2023,Q1,Male,NEET rate-Youth  not in employment nor currently in education or training(%),27.409858637648895
2023,Q2,Male,NEET rate-Youth  not in employment nor currently in education or training(%),27.317230740754468
2023,Q3,Male,NEET rate-Youth  not in employment nor currently in education or training(%),24.68711788827372
2023,Q4,Male,NEET rate-Youth  not in employment nor currently in education or training(%),24.143721017787584
2024,Q1,Male,NEET rate-Youth  not in employment nor currently in education or training(%),21.88263744382769
2024,Q2,Male,NEET rate-Youth  not in employment nor currently in education or training(%),21.510118335343122
2024,Q3,Male,NEET rate-Youth  not in employment nor currently in education or training(%),21.722068662883505
2024,Q4,Male,NEET rate-Youth  not in employment nor currently in education or training(%),20.02347894526306
