year,quarter,sex,education,value
2021,Q2,Male,No schooling,46.36708187372982
2021,Q3,Male,No schooling,45.14528110191948
2021,Q4,Male,No schooling,47.00583950464991
2022,Q1,Male,No schooling,46.34293829731794
2022,Q2,Male,No schooling,44.514678168811734
2022,Q3,Male,No schooling,45.42776406235171
2022,Q4,Male,No schooling,45.503657384272465
2023,Q1,Male,No schooling,46.33333917085896
2023,Q2,Male,No schooling,45.79931121050386
2023,Q3,Male,No schooling,44.20477778737259
2023,Q4,Male,No schooling,43.679565008283014
2024,Q1,Male,No schooling,44.3958487987398
2024,Q2,Male,No schooling,45.89438707295991
2024,Q3,Male,No schooling,44.5522989255953
2024,Q4,Male,No schooling,44.981658720892625
2025,Q1,Male,No schooling,47.37004831018629
2025,Q2,Male,No schooling,46.035851649753866
2025,Q3,Male,No schooling,42.848497535480654
2025,Q4,Male,No schooling,44.33385553780509
2019,Q1,Male,Primary,30.500051214607215
2019,Q2,Male,Primary,31.497090915454823
2019,Q3,Male,Primary,29.464566915322994
2019,Q4,Male,Primary,31.812851131919693
2020,Q1,Male,Primary,28.59799928530218
2020,Q2,Male,Primary,35.135501085743094
2020,Q3,Male,Primary,33.04247385585802
2020,Q4,Male,Primary,28.680318694169245
2021,Q1,Male,Primary,32.515725507815084
2021,Q2,Male,Primary,28.875277313134372
2021,Q3,Male,Primary,31.77058107074772
2021,Q4,Male,Primary,29.661237668561892
2022,Q1,Male,Primary,32.10052144837175
2022,Q2,Male,Primary,33.30447377410911
2022,Q3,Male,Primary,31.90134432968994
2022,Q4,Male,Primary,31.876069637803063
2023,Q1,Male,Primary,32.79446595313523
2023,Q2,Male,Primary,33.113501800154836
2023,Q3,Male,Primary,34.232164545267494
2023,Q4,Male,Primary,32.08861747602098
2024,Q1,Male,Primary,31.798656180936714
2024,Q2,Male,Primary,30.739797955713104
2024,Q3,Male,Primary,30.46853914742986
2024,Q4,Male,Primary,31.165327372344155
2025,Q1,Male,Primary,29.696409887109926
2025,Q2,Male,Primary,30.573700350567773
2025,Q3,Male,Primary,31.08679964001051
2025,Q4,Male,Primary,31.37815870245408
2019,Q1,Male,Lower secondary,5.529600597461899
2019,Q2,Male,Lower secondary,5.792307668232857
2019,Q3,Male,Lower secondary,6.588191741364439
2019,Q4,Male,Lower secondary,6.213921364787832
2020,Q1,Male,Lower secondary,5.8994622631123
2020,Q2,Male,Lower secondary,6.675979210689195
2020,Q3,Male,Lower secondary,7.223171881413186
2020,Q4,Male,Lower secondary,6.320597704093633
2021,Q1,Male,Lower secondary,5.323601796633763
2021,Q2,Male,Lower secondary,5.404089881547805
2021,Q3,Male,Lower secondary,6.563129961626268
2021,Q4,Male,Lower secondary,6.242922516434917
2022,Q1,Male,Lower secondary,5.445223257989184
2022,Q2,Male,Lower secondary,6.247723683463769
2022,Q3,Male,Lower secondary,6.603752706294659
2022,Q4,Male,Lower secondary,5.910937791373627
2023,Q1,Male,Lower secondary,6.357458651800455
2023,Q2,Male,Lower secondary,6.452819215635704
2023,Q3,Male,Lower secondary,7.014384569131643
2023,Q4,Male,Lower secondary,7.258326126769441
2024,Q1,Male,Lower secondary,6.909487013255361
2024,Q2,Male,Lower secondary,6.402350876558578
2024,Q3,Male,Lower secondary,8.815171756455133
2024,Q4,Male,Lower secondary,6.701159052689816
2025,Q1,Male,Lower secondary,7.184512050541962
2025,Q2,Male,Lower secondary,7.254807713469957
2025,Q3,Male,Lower secondary,8.978529591682328
2025,Q4,Male,Lower secondary,6.986020953113386
2019,Q1,Male,Upper secondary,7.93025828336479
2019,Q2,Male,Upper secondary,8.598777728344933
2019,Q3,Male,Upper secondary,8.575154768832304
2019,Q4,Male,Upper secondary,9.487845106152703
